Texts,content,corpus
 I buy this iPhone last 2 weeks.From my experience this iPhone is very good performer as like battery life display processor and fast charging etc.battery work longer time.from my experience full paisa wasool.Thanks FLIPKART and thanks APPLE specially.I love so much,human,buy iphon last week experi iphon good perform like batteri life display processor fast charg etc batteri work longer time experi full paisa wasool thank flipkart thank appl special love much
"The impact of renewable energy sources on the mining industry and natural resource extraction is a pressing issue, with potential implications for economic growth and environmental sustainability.",bot,impact renew energi sourc mine industri natur resourc extract press issu potenti implic econom growth environment sustain
" You don't have anything to complaint when you get an iPhone in Big Billion Days Sale price.Rest it's an iPhone, was meant to be great.",human,anyth complaint get iphon big billion day sale price rest iphon meant great
 Awesome experience nice product from apple.camera experience was awesome and coming to battery its improved a lot.Display was super and coming to over all performance we can buy this iPhone 13 mobile without any quarries.,human,awesom experi nice product appl camera experi awesom come batteri improv lot display super come perform buy iphon mobil without quarri
" Super fantastic Apple iPhone...I repent not to have it earlier. It is a beast in the hand as a small digital device. Super camera , long lasting battery, iOS butter smoothie what to say more.. iPhone deserves better than any other phones",human,super fantast appl iphon repent earlier beast hand small digit devic super camera long last batteri io butter smoothi say iphon deserv better phone
 The Excellent iPhone in the best price. Used for almost 03 months and working perfectly. I have exchanged it with iPhone X. Consider iPhone 13 in place of iPhone 14 who don't have any special changes/updates.,human,excel iphon best price use almost month work perfectli exchang iphon x consid iphon place iphon special chang updat
"The use of robotics in manufacturing and production presents opportunities for precision and efficiency, but also raises concerns about job displacement and ethical implications.",bot,use robot manufactur product present opportun precis effici also rais concern job displac ethic implic
"Artificial intelligence and machine learning have the potential to revolutionize many industries and fields, but also raise concerns about privacy, bias, and the impact on jobs and society.",bot,artifici intellig machin learn potenti revolution mani industri field also rais concern privaci bia impact job societi
 Superbb,human,superbb
 Nice product,human,nice product
 Phone is too good.only if we can get more discount it would be more value for money,human,phone good get discount would valu money
 Phone getting heat while using camera within 10min it's getting heat,human,phone get heat use camera within min get heat
 Excellent product and camera quality is super After 5years I switched android to ios very nice experience to me,human,excel product camera qualiti super year switch android io nice experi
 I have been an android user all my life. Some things are more convenient in Android. Few things more convenient in ios.  I had a Nord 2 5G. Better performance ( Of Course). Camera is really good. And the battery life is simply superb . Battery than any android i have ever seen or used.,human,android user life thing conveni android thing conveni io nord g better perform cours camera realli good batteri life simpli superb batteri android ever seen use
 As beautiful as pic and as good as it has too,human,beauti pic good
"The use of artificial intelligence in legal research and analysis presents opportunities for efficiency and accuracy, but also raises concerns about job displacement and ethical implications.",bot,use artifici intellig legal research analysi present opportun effici accuraci also rais concern job displac ethic implic
 Best in all aspects,human,best aspect
 Excess heating issue,human,excess heat issu
 Camera bump colour removing after 1week of purchase,human,camera bump colour remov week purchas
"The use of blockchain technology in digital identity presents opportunities for security and privacy, but also requires careful consideration of legal and regulatory frameworks.",bot,use blockchain technolog digit ident present opportun secur privaci also requir care consider legal regulatori framework
 Luv this phone ????????????,human,luv phone
"AI can help us improve the accuracy and efficiency of forensic investigations, improving the reliability of evidence and reducing wrongful convictions.",bot,ai help us improv accuraci effici forens investig improv reliabl evid reduc wrong convict
 Received within a day of ordering. I have been on apple eco system for over a decade and they do not disappoint. Amazing product from apple as always. 5/5,human,receiv within day order appl eco system decad disappoint amaz product appl alway
"The impact of social media on mental health and wellbeing is a complex issue, with ongoing debates about the role of technology in shaping social relationships and self-image.",bot,impact social media mental health wellb complex issu ongo debat role technolog shape social relationship self imag
The sound of laughter filled the room as everyone enjoyed themselves.,bot,sound laughter fill room everyon enjoy
 Starlight is best color.,human,starlight best color
"The use of renewable energy sources such as geothermal and tidal power has the potential to diversify energy sources and reduce greenhouse gas emissions, but also requires careful consideration of environmental impacts and community engagement.",bot,use renew energi sourc geotherm tidal power potenti diversifi energi sourc reduc greenhous ga emiss also requir care consider environment impact commun engag
"The AI-powered recommendation system was able to accurately suggest products to customers, resulting in a 20% increase in sales.",bot,ai power recommend system abl accur suggest product custom result increas sale
"Mental health is an important but often overlooked aspect of healthcare, and greater awareness and investment in mental health services is critical for promoting overall wellbeing.",bot,mental health import often overlook aspect healthcar greater awar invest mental health servic critic promot overal wellb
 Beast phone …. Camera is exceptionally best,human,beast phone camera except best
The AI model was trained on a large dataset of images and was able to identify objects with high accuracy.,bot,ai model train larg dataset imag abl identifi object high accuraci
 Unmatched performance at this price range and also thanks to Flipkart for making affordable for many of us,human,unmatch perform price rang also thank flipkart make afford mani us
 Best class in camera,human,best class camera
 Wow nice phone i am loving it. The color is soo elegance mind blowing,human,wow nice phone love color soo eleg mind blow
"The impact of digital technology on privacy and surveillance is a constantly evolving issue, with ongoing debates about the balance between security and privacy.",bot,impact digit technolog privaci surveil constantli evolv issu ongo debat balanc secur privaci
"With AI, we can unlock insights from vast amounts of data that would be impossible for humans to process on their own.",bot,ai unlock insight vast amount data would imposs human process
 awesome pictures quality  very nice battery back up over all gud,human,awesom pictur qualiti nice batteri back gud
 Good,human,good
" Faulty product, phone overheating during normal usage.",human,faulti product phone overh normal usag
"The use of biotechnology in genetic engineering presents opportunities for breakthroughs and innovation, but also raises concerns about safety and ethical implications.",bot,use biotechnolog genet engin present opportun breakthrough innov also rais concern safeti ethic implic
 Overall satisfied purchase,human,overal satisfi purchas
 Good battery life and performance,human,good batteri life perform
"AI has the potential to revolutionize healthcare, making diagnoses more accurate and treatments more effective.",bot,ai potenti revolution healthcar make diagnos accur treatment effect
"The colors of the leaves were so vibrant, it was like a painting come to life.",bot,color leav vibrant like paint come life
 Great deal and fast delivery in 9 hrs,human,great deal fast deliveri hr
 Its just Amazing....,human,amaz
 Overall good performance phone,human,overal good perform phone
The shift towards a circular economy model requires rethinking traditional supply chain models and adopting new business practices that prioritize resource efficiency and waste reduction.,bot,shift toward circular economi model requir rethink tradit suppli chain model adopt new busi practic priorit resourc effici wast reduct
 Poor performance,human,poor perform
"The use of circular economy principles in business and industry offers new possibilities for resource efficiency and waste reduction, but also requires careful consideration of economic and social factors.",bot,use circular economi principl busi industri offer new possibl resourc effici wast reduct also requir care consider econom social factor
 Superb Phone.... I loved it....,human,superb phone love
 Very very Good phone and starlight colour is very good colour ?? im very happy ??,human,good phone starlight colour good colour im happi
"The use of gene editing technologies such as CRISPR offers new possibilities for disease prevention and treatment, but also raises ethical concerns about human genetic engineering and eugenics.",bot,use gene edit technolog crispr offer new possibl diseas prevent treatment also rais ethic concern human genet engin eugen
 Just love it,human,love
"The use of gene therapy technology offers new possibilities for disease treatment and prevention, but also raises concerns about ethical and regulatory implications.",bot,use gene therapi technolog offer new possibl diseas treatment prevent also rais concern ethic regulatori implic
"The impact of automation on the transportation industry and job market is a growing area of interest and innovation, with potential implications for efficiency and job displacement.",bot,impact autom transport industri job market grow area interest innov potenti implic effici job displac
"The impact of migration and displacement on human rights and social justice is a complex issue, with ongoing efforts to address root causes and promote greater equity and inclusion.",bot,impact migrat displac human right social justic complex issu ongo effort address root caus promot greater equiti inclus
"AI can help us create more efficient and effective transportation systems, reducing congestion and improving mobility.",bot,ai help us creat effici effect transport system reduc congest improv mobil
 Good one,human,good one
 Awesome camera..I m love  it,human,awesom camera love
"The impact of social media on political discourse and democracy is a complex issue, with ongoing debates about the role of technology in shaping public opinion and civic engagement.",bot,impact social media polit discours democraci complex issu ongo debat role technolog shape public opinion civic engag
"Artificial intelligence has the potential to revolutionize the way we live and work, but it also poses many ethical and social challenges.",bot,artifici intellig potenti revolution way live work also pose mani ethic social challeng
 Superb product from Apple.,human,superb product appl
"The study of genetics seeks to understand the mechanisms and inheritance patterns of biological traits, with applications in fields such as medicine, agriculture, and forensics.",bot,studi genet seek understand mechan inherit pattern biolog trait applic field medicin agricultur forens
"Remember that failure is not the opposite of success, it's a necessary part of the process.",bot,rememb failur opposit success necessari part process
 My device get heat while charging and after using half n hour of video playback,human,devic get heat charg use half n hour video playback
 Cinematic mode is excellent Camera is superb as expectedPerformance is greatBattery life is goodDisplay is best I’ve ever seenOverall this model is best.,human,cinemat mode excel camera superb expectedperform greatbatteri life gooddisplay best ever seenoveral model best
" this is my first time buying an Apple Product, I dont know much about it..... but it look genuine to me.....its hard being new to iphone u cuz you know, everything is different from that of an android smartphone..... you know what, i was searching for the mobile data button for 3 hrs????.... thanks flipkart, it was worth it??",human,first time buy appl product dont know much look genuin hard new iphon u cuz know everyth differ android smartphon know search mobil data button hr thank flipkart worth
" Loved the music experience, seriously Nothing better than this.Using iPhone first time, super experience.Here things are restricted like you have to buy ringtone if you want to change but for Android we can change by downloading.",human,love music experi serious noth better use iphon first time super experi thing restrict like buy rington want chang android chang download
"The field of sociology seeks to understand the structure and dynamics of human societies and social relations, with a focus on culture, inequality, and social change.",bot,field sociolog seek understand structur dynam human societi social relat focu cultur inequ social chang
 This is value for money product go for it ....,human,valu money product go
 This is my first IPHONE ever fully satisfied.Thanks to Flipkart for delivering on time,human,first iphon ever fulli satisfi thank flipkart deliv time
 Everything ok but battery not satisfied,human,everyth ok batteri satisfi
"The use of blockchain technology in supply chain management presents opportunities for transparency and efficiency, but also requires careful consideration of legal and regulatory frameworks.",bot,use blockchain technolog suppli chain manag present opportun transpar effici also requir care consider legal regulatori framework
"When you're feeling down, remember that you are capable of achieving great things. All it takes is determination and hard work.",bot,feel rememb capabl achiev great thing take determin hard work
 Full satisfied this product,human,full satisfi product
"The impact of automation on the retail industry and consumer behavior is a growing area of interest and innovation, with potential implications for efficiency and personalization.",bot,impact autom retail industri consum behavior grow area interest innov potenti implic effici person
"The impact of artificial intelligence on the legal profession and access to justice is a growing area of interest and concern, with potential implications for legal services and the role of lawyers.",bot,impact artifici intellig legal profess access justic grow area interest concern potenti implic legal servic role lawyer
 amazing phone,human,amaz phone
 Loved it,human,love
"The use of biotechnology in vaccine development presents opportunities for breakthroughs and innovation, but also raises concerns about ethical implications and potential consequences.",bot,use biotechnolog vaccin develop present opportun breakthrough innov also rais concern ethic implic potenti consequ
